model_id,id,target,candidate,rouge1,rouge2,rougeL,rougeLs,chrf
bart_finetune,1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['A fire has destroyed a restaurant in Bognor Regis, West Sussex.']",0.434782609,0.095238095,0.347826087,0.347826087,29.49113757
bert,1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['Sussex Police said the fire broke out at Beach Restaurant and affected derelict buildings next to it. On Twitter, Paige posted: ""can\'t believe the best chippy in bognor has burnt down.""']",0.181818182,0,0.181818182,0.181818182,21.27259271
baseline,2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],"['The 240-turbine Atlantic Array would be double the size of any windfarm currently operating in Britain. The EC confirmed it is taking up the matter with the UK Government due to the ""failure to propose protection sites for the harbour porpoise"". A Defra spokesperson they were working to identify further sites.']",0.138888889,0,0.083333333,0.083333333,24.66532181
t5base,2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],['the 240-turbine Atlantic Array would be double the size of any windfarm currently operating in Britain . a Defra spokesperson they are working to identify further sites . the EC raised their concerns following a report into the delay to designate sites as Special Areas of Conservation .'],0.181818182,0,0.121212121,0.121212121,25.05746992
t5_finetune,2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],"['The EC is taking up the issue with the UK government due to the ""failure to propose protection sites for the harbour porpoise""']",0.139534884,0,0.139534884,0.139534884,18.08405228
bart_base,2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],"['The 240-turbine Atlantic Array would be double the size of any windfarm currently operating in Britain. The EC confirmed it is taking up the matter with the UK Government due to the ""failure to propose protection sites for the harbour porpoise"". A Defra spokesperson they were working to identify further sites. A letter from Gunter Raad, acting head of environment directorate of the European Commission, said they had received a ""wide-ranging complaint"". ""As a result of our investigations we have now decided to follow this matter up with infringement action,"" the statement said. Mr Raad said the EC was now waiting for a reply from the relevant UK authorities. \'Extensive survey\' The EC raised their concerns following a World Wildlife Fund (WWF) report into the delay to designate sites as Special Areas of Conservation, which identifies six possible sites around the UK for the protection of harbour porpise. The EU warned that the delay has meant that potentially damaging activities are being allowed to progress, potentially without sufficient regard to the needs for the protected of the species. Developer RWE npower said in a statement: ""We have carried out extensive ecological survey work, site investigations and consultation. ""The results and findings have helped shape the development of']",0.087336245,0.017621145,0.061135371,0.061135371,20.25864882
bart_finetune,2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],['The European Commission has taken up an infringement action against the UK government over plans to build a wind farm in the Bristol Channel.'],0.318181818,0.095238095,0.318181818,0.318181818,37.5206596
bert,2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],"['The EC confirmed it is taking up the matter with the UK Government due to the ""failure to propose protection sites for the harbour porpoise"". We\'ve been told the EC is taking infringement orders against the UK government, because they believe, as we do, they haven\'t done enough to protect the porpoises.']",0.081081081,0,0.081081081,0.081081081,21.23370605
baseline,3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],"[""It is believed the patient contracted the infection while visiting Nigeria, Public Health England (PHE) said. According to the World Health Organisation, the condition is similar to human smallpox and although it is much milder, it can be fatal. The patient has been transferred to a specialist infectious disease centre at Guy's and St Thomas' in London.""]",0.24,0.054794521,0.106666667,0.106666667,29.72977511
t5base,3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],['the patient contracted monkeypox while visiting Nigeria . the condition is similar to human smallpoox and can be fatal . it is not the first time monkey pox has been detected in the uk .'],0.285714286,0.085106383,0.204081633,0.204081633,35.20785235
t5_finetune,3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],"['The patient has been transferred to a specialist infectious disease centre in London, the WHO said.']",0.424242424,0.129032258,0.303030303,0.303030303,34.81138821
bart_base,3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],"['It is believed the patient contracted the infection while visiting Nigeria, Public Health England (PHE) said. According to the World Health Organisation, the condition is similar to human smallpox and although it is much milder, it can be fatal. The patient has been transferred to a specialist infectious disease centre at Guy\'s and St Thomas\' in London. What is monkeypox? PHE and NHS officials said they had been implementing ""rapid infection control procedures"" and contacting passengers who travelled in close proximity to the patient on the same flight to the UK. ""We are following up with those who have had close contact with the patient to offer advice and to monitor them as necessary,"" said Dr Meera Chand, consultant microbiologist at PHE. PHE says the infection is usually a self-limiting illness and most people recover within a few weeks, however severe illness can occur in some individuals. The infection does not spread easily between people and the risk to the general public in England is very low. This is not the first time the virus has been detected in the UK, with the first reported cases in the US in September 2018. The first patient to be diagnosed with monkeypox in Britain had been staying at a naval base in Cornwall.PHE said the']",0.103004292,0.051948052,0.077253219,0.077253219,20.60322363
bart_finetune,3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],['A man has been diagnosed with monkeypox in the UK after travelling to the UK from Nigeria.'],0.529411765,0.3125,0.470588235,0.470588235,45.88949761
bert,3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],"['What is monkeypox? PHE and NHS officials said they had been implementing ""rapid infection control procedures"" and contacting passengers who travelled in close proximity to the patient on the same flight to the UK. ""']",0.274509804,0,0.156862745,0.156862745,34.51174322
baseline,4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['By Chris JohnstonBusiness reporter The rise in prices will ""accelerate rapidly"" during 2017 as the fall in sterling is passed on to consumers, according to the National Institute for Economic and Social Research (NIESR). The revised figure is sharply higher than the 3% it forecast in August. The economy also faces ""significant risks"" that could restrict growth.']",0.148148148,0,0.12345679,0.12345679,23.45612136
t5base,4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['consumer price index (CPI) inflation rose to 1% in September, up from 0.6% in august . that was the highest rate for nearly two years as the cost of clothes, petrol and hotel rooms increased .']",0.203389831,0,0.203389831,0.203389831,26.29378769
t5_finetune,4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","[""Inflation is expected to rise in the UK's consumer buying power over the coming months and quarters, the National Institute for Economic and Social Research (NIESR) said.""]",0.230769231,0.04,0.192307692,0.192307692,25.1461853
bart_base,4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['By Chris JohnstonBusiness reporter The rise in prices will ""accelerate rapidly"" during 2017 as the fall in sterling is passed on to consumers, according to the National Institute for Economic and Social Research (NIESR). The revised figure is sharply higher than the 3% it forecast in August. The economy also faces ""significant risks"" that could restrict growth. ""Households have really got a choice. Do they spend less or do they start saving less?"" Dr Angus Armstrong, director of macroeconomics at NIESR, told the BBC\'s Today programme. He said given the savings ratio was at its lowest level since 2008, ""the most likely scenario is that they spend much less, hence the weaker [growth] forecast for next year."" Consumer Price Index (CPI) inflation rose to 1% in September, up from 0.6% in August, the Office for National Statistics (ONS) said last month. That was the highest rate for nearly two years as the cost of clothes, petrol and hotel rooms increased. Inflation means inflation, but who wins? Q&A: Inflation explained The Bank of England is expected to raise its forecasts for inflation in its quarterly Inflation Report on Thursday. The pound has fallen sharply against the dollar']",0.107623318,0.009049774,0.089686099,0.089686099,16.86970762
bart_finetune,4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['The UK economy is expected to grow by 2% in 2017, according to a new report.']",0.25,0,0.2,0.2,14.72708576
bert,4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['By Chris JohnstonBusiness reporter The rise in prices will ""accelerate rapidly"" during 2017 as the fall in sterling is passed on to consumers, according to the National Institute for Economic and Social Research (NIESR). Samuel Tombs, chief UK economist at Pantheon Macroeconomics, said: ""NIESR is right to warn that households are about to endure a renewed period of falling living standards due to soaring inflation. ""']",0.224719101,0,0.112359551,0.112359551,23.83264669
baseline,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"['It\'s the first time a rap song has won both categories - although Gambino did not attend or perform at the event. He was the first artist to be absent from collecting one of the ""big four"" Grammys since Amy Winehouse in 2008. Gambino - aka actor Donald Glover - beat competition from Drake, Lady Gaga and Bradley Cooper in both categories.']",0.175,0.025641026,0.1,0.1,25.32383536
t5base,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],['this is the first time a rap song has won both awards at the Grammys . the actor did not attend or perform at the awards ceremony . this is a song about representation of black people in the u.s.'],0.271186441,0.035087719,0.169491525,0.169491525,27.38051618
t5_finetune,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],['This Is America is the first rap song to win both categories since 2008 .'],0.352941176,0.125,0.176470588,0.176470588,24.77205436
bart_base,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"['It\'s the first time a rap song has won both categories - although Gambino did not attend or perform at the event. He was the first artist to be absent from collecting one of the ""big four"" Grammys since Amy Winehouse in 2008. Gambino - aka actor Donald Glover - beat competition from Drake, Lady Gaga and Bradley Cooper in both categories. Kendrick Lamar and SZA\'s All The Stars, Brandi Carlile\'s The Joke and The Middle by Zedd, Maren Morris and Grey were also up for both awards. This Is America, which was accompanied by a symbolic music video, sparked debate when it was released in May. It looked at the representation of black people in America and the prejudices they faced. While record of the year recognises everyone involved in a song, including the artist, producers and engineers, song of the years is awarded to the writer. This is America co-writer Ludwig Goransson collected the awards on Gambino\'s behalf. He said he did not know why Gambino had declined to attend but explained how important recognising rap and hip-hop artists at the Grammys was. ""I think if you listen to the radio or if you just watch our culture, if you look at the most downloaded,']",0.130434783,0.043859649,0.095652174,0.095652174,20.13800165
bart_finetune,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"[""The Grammys have announced the winner of this year's Best Rap Song and Best Rap Album.""]",0.324324324,0.057142857,0.108108108,0.108108108,22.8558542
bert,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"['He said he did not know why Gambino had declined to attend but explained how important recognising rap and hip-hop artists at the Grammys was. "" Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents.']",0.103448276,0,0.103448276,0.103448276,26.48114878
baseline,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],"['A black Volkswagen Transporter was in collision with a cyclist on the A4109 at Banwen at 21:15 BST on Saturday. South Wales Police said the rider was declared dead at scene and shut the Inter-valley road between Banwen and Glyneath for five hours to investigate. Officers have appealed for witnesses or ""anyone who witnessed the manner of driving of the pedal cycle or vehicle prior to the collision""..']",0.119047619,0.048780488,0.095238095,0.095238095,16.95455997
t5base,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],['a black Volkswagen Transporter was in collision with a cyclist on the a4109 at Banwen . the rider was declared dead at scene and police shut the road for five hours .'],0.227272727,0.095238095,0.181818182,0.181818182,23.76823938
t5_finetune,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],"['A black Volkswagen Transporter was in a collision with a cyclist on the A4109 at Banwen, South Wales.']",0.375,0.2,0.3125,0.3125,26.99706277
bart_base,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],"['A black Volkswagen Transporter was in collision with a cyclist on the A4109 at Banwen at 21:15 BST on Saturday. South Wales Police said the rider was declared dead at scene and shut the Inter-valley road between Banwen and Glyneath for five hours to investigate. Officers have appealed for witnesses or ""anyone who witnessed the manner of driving of the pedal cycle or vehicle prior to the collision"".']",0.119047619,0.048780488,0.095238095,0.095238095,16.98685999
bart_finetune,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],['A cyclist has died after being hit by a car on the A4109.'],0.37037037,0.24,0.37037037,0.37037037,35.23293939
bert,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],"['A black Volkswagen Transporter was in collision with a cyclist on the A4109 at Banwen at 21:15 BST on Saturday. Officers have appealed for witnesses or ""anyone who witnessed the manner of driving of the pedal cycle or vehicle prior to the collision"".']",0.172413793,0.071428571,0.137931034,0.137931034,20.4618738
baseline,7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']","['By Eleanor Gruffydd-JonesBBC Politics Wales AM Angela Burns and the charity UK Sepsis Trust said help for survivors was non-existent. They want patients to be given more information when they are discharged and follow-up help with their recovery. More than 10,000 people get sepsis each year in Wales and about 2,000 of them die, the charity said.']",0.117647059,0,0.117647059,0.117647059,25.25347575
t5base,7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']","['more than 10,000 people get sepsis each year in Wales and about 2,000 of them die . many recover within 18 months, but some suffer serious long-term physical and psychological problems . the charity says these include post-traumatic stress disorder (PTSD) and anxiety .']",0.058823529,0,0.058823529,0.058823529,20.85550884
t5_finetune,7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']",['The UK Sepsis Trust has said it has no support for sepsis survivors in Wales.'],0.263157895,0.055555556,0.210526316,0.210526316,22.86812509
bart_base,7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']","['By Eleanor Gruffydd-JonesBBC Politics Wales AM Angela Burns and the charity UK Sepsis Trust said help for survivors was non-existent. They want patients to be given more information when they are discharged and follow-up help with their recovery. More than 10,000 people get sepsis each year in Wales and about 2,000 of them die, the charity said. People get Sepsis when the body attacks itself in response to an infection. Many recover within 18 months, but some suffer serious long-term physical and psychological problems - associated with what is known as ""post-sepsis syndrome"". The UK Sepses Trust says these include post-traumatic stress disorder (PTSD), anxiety, depression, insomnia, poor mobility, fatigue and muscle wasting. Mrs Burns, who speaks on health matters for the Conservatives in the Welsh Assembly, contracted sepsic when she had pneumonia. After being discharged, she said she there was no help for the psychological effects. ""You are very alone. I didn\'t have any support, I had no idea, what was going on, and I had never really in my life suffered depression, so that was a new thing for me. ""I don\'t know if I\'ve ever been in']",0.107623318,0.009049774,0.053811659,0.053811659,19.07955768
bart_finetune,7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']",['A Welsh MP has called for more information about sepsis to be given to people who have been diagnosed with it.'],0.227272727,0,0.136363636,0.136363636,21.18418924
bert,7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']","['I didn\'t have any support, I didn\'t understand, what was going on, and I had never really in my life suffered depression, so that was a new thing for me. "" The Welsh Government said: ""We are supporting the development of the sepsis registry - led by Public Health Wales in collaboration with all health boards - which focuses on long-term outcomes for people who have had sepsis. ""']",0.21978022,0.02247191,0.131868132,0.131868132,25.17809247
baseline,8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['Youngsters on a Halloween insect hunt found the bug at Craig Gwladus Country Park, near Cilfrew, on 30 October. It has since been identified as the Turdulisoma cf turdulorum millipede, so rare it is only the third known site where it has been found. The first was Aberkenfig, Bridgend, in 2017, by local expert Christian Owen.']",0.25,0.153846154,0.25,0.25,29.31575103
t5base,8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['youngsters on a Halloween insect hunt found the bug at Craig Gwladus, near Cilfrew . it has since been identified as the Turdulisoma cf turdulorum millipede . the bug is so rare it is only the third known site where it has been found .']",0.272727273,0.15625,0.272727273,0.272727273,32.61997507
t5_finetune,8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']",['A new species has been found at the Craig Gwladus Country Park in south Wales.'],0.307692308,0.108108108,0.307692308,0.307692308,21.72115525
bart_base,8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['Youngsters on a Halloween insect hunt found the bug at Craig Gwladus Country Park, near Cilfrew, on 30 October. It has since been identified as the Turdulisoma cf turdulorum millipede, so rare it is only the third known site where it has been found. The first was Aberkenfig, Bridgend, in 2017, by local expert Christian Owen. It was subsequently confirmed as a new species by Dr Jörg Spelda at the Bavarian State Collection of Zoology in Germany. All findings have been in south Wales, with the Craigwladus discovery uncovered among leaf litter and under old wood along the former Gelliau Colliery Tramroad at the park. Liam Olds, from conservation group Buglife Cymru, said sites associated with Wales\' coalmining heritage were ""very important places for rare and scarce animal and plant species, especially invertebrates"". He added: ""Discoveries such as this highlight the importance of such sites and why they need to be conserved. ""As the species is new to science, we know nothing about it. ""It could be a native species that has been previously overlooked because so few people know about it, or it could']",0.152380952,0.086538462,0.114285714,0.114285714,19.18104601
bart_finetune,8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['A moth has been found in Wales, the first of its kind to be found in the UK.']",0.285714286,0.15,0.238095238,0.238095238,22.21522251
bert,8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['All findings have been in south Wales, with the Craig Gwladus discovery uncovered among leaf litter and under old wood along the former Gelliau Colliery Tramroad at the park. Mr Olds said scientists would probably never know for certain.']",0.126984127,0,0.095238095,0.095238095,23.16900025
baseline,9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['The family said they could not have afforded a QC themselves after the Legal Aid Agency decided the case ""was not in the public interest"". Seven-year-old Zane Gbangbola died at his home next to the Thames in Chertsey, Surrey on 8 February 2014. The coroner is to deliver his verdict on 6 or 7 September.']",0.235294118,0.048192771,0.164705882,0.164705882,27.63638021
t5base,9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['seven-year-old died at his home next to the Thames in Chertsey, Surrey on 8 February 2014 . a post-mortem examination suggested carbon monoxide fumes from a petrol-driven pump may have killed the boy . the inquest heard detailed scientific evidence about what gas may have died . his parents believe he was killed by hydrogen cyanide in floodwater polluted by a former landfill site .']",0.301075269,0.021978022,0.129032258,0.129032258,27.91135171
t5_finetune,9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],['A coroner has decided the case was not in the public interest.'],0.2,0.052631579,0.15,0.15,16.77438844
bart_base,9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['The family said they could not have afforded a QC themselves after the Legal Aid Agency decided the case ""was not in the public interest"". Seven-year-old Zane Gbangbola died at his home next to the Thames in Chertsey, Surrey on 8 February 2014. The coroner is to deliver his verdict on 6 or 7 September. Over five weeks, the inquest heard detailed scientific evidence about what gas may have killed the boy. A post-mortem examination suggested it could have been carbon monoxide fumes from a petrol-driven pump used to clear floodwater from the premises. But the hearing was told the amount of carbon monoxy in his blood was significantly lower than fatal. Zane\'s parents believe he was killed by hydrogen cyanide in floodwater polluted by a former landfill site to the rear of their home. The family\'s campaign managed to raise £70,000 to hire a lawyer, including £25,000 from an anonymous supporter.Zane\'s mother Nicole Lawler said: ""We could not (do it) on our own. There is absolutely no way we could have represented ourselves. And without the funding the public put together to help us get a QC, we really did not stand a chance."" Her partner Kye Gbang']",0.143459916,0.025531915,0.084388186,0.084388186,21.69370277
bart_finetune,9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],['A family of a boy who died after being poisoned by cyanide has urged a coroner to give his verdict.'],0.333333333,0.173913043,0.333333333,0.333333333,21.82004423
bert,9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['The family said they could not have afforded a QC themselves after the Legal Aid Agency decided the case ""was not in the public interest"". But the hearing was told the amount of carbon monoxide in his blood was significantly lower than fatal.']",0.197183099,0.028985507,0.14084507,0.14084507,26.79137742
baseline,10,['A new memorial has been unveiled to remember freeminers who died in mining accidents in the Forest of Dean.'],"['The 7ft (2.13m) monument made of steel and stone stands next to Pan Tod beacon on Ruardean Hill, Gloucestershire and records the names of 50 men. It has been built by ex-miner Ernie Hughes whose father Leslie died at the Northern United colliery in Cinderford in 1951, aged 45. Mr Hughes said he had wanted to set up the memorial ""all his life"".']",0.214285714,0.024390244,0.142857143,0.142857143,27.10195562
t5base,10,['A new memorial has been unveiled to remember freeminers who died in mining accidents in the Forest of Dean.'],['the 7ft (2.13m) monument records the names of 50 men . it was built by ex-miner Ernie Hughes whose father Leslie died in 1951 . former leader of the house of Lords helped unveil the memorial .'],0.181818182,0.037735849,0.145454545,0.145454545,29.94770404
t5_finetune,10,['A new memorial has been unveiled to remember freeminers who died in mining accidents in the Forest of Dean.'],['The Forest of Dean is a memorial to the people who died in the mining industry.'],0.628571429,0.363636364,0.4,0.4,39.98042308
bart_base,10,['A new memorial has been unveiled to remember freeminers who died in mining accidents in the Forest of Dean.'],"['The 7ft (2.13m) monument made of steel and stone stands next to Pan Tod beacon on Ruardean Hill, Gloucestershire and records the names of 50 men. It has been built by ex-miner Ernie Hughes whose father Leslie died at the Northern United colliery in Cinderford in 1951, aged 45. Mr Hughes said he had wanted to set up the memorial ""all his life"". He said: ""We wanted to put up the monument so everybody would have a record of what went on in the mines."" The former leader of the House of Lords Baroness Royall, who lives in nearby Blaisdon, helped Mr Hughes with the unveiling of the memorial. She said: “It\'s sad because its a memorial to people who died, but it\'s a great celebration of our traditions and heritage in the Forest of Dean. ""It\'s a monument to a man who died in a mining accident, and it\'s also a tribute to the people who worked in the forest. ""We have a rich history of mining and we have a wealth of people who have worked in our mines. We have a great history of our mines and we are proud to be part of it."" Freeminer is the ancient']",0.123348018,0.062222222,0.0969163,0.0969163,25.61734251
bart_finetune,10,['A new memorial has been unveiled to remember freeminers who died in mining accidents in the Forest of Dean.'],['A memorial to miners who died in the Forest of Dean colliery has been unveiled.'],0.764705882,0.5,0.588235294,0.588235294,56.31711366
bert,10,['A new memorial has been unveiled to remember freeminers who died in mining accidents in the Forest of Dean.'],"['He said: ""We wanted to set up the monument so everybody would have a record of what went on in the mines."" Freeminer is the ancient title given to a Forest of Dean miner who has earned the right to work personal plots.']",0.290322581,0.1,0.193548387,0.193548387,34.41260433
baseline,11,"[""A review aimed at modernising Alderney's financial relationship with Guernsey is due to take a year.""]","['It follows concerns over the way public services in Alderney will be funded in the future. The review involves measuring all the islands\' public costs and revenue, including Guernsey States-owned airline Aurigny. Guernsey\'s Deputy Chief Minister Allister Langlois said there was ""a great deal of work to do"".']",0.179104478,0,0.089552239,0.089552239,27.16029472
t5base,11,"[""A review aimed at modernising Alderney's financial relationship with Guernsey is due to take a year.""]","[""review involves measuring all the islands' public costs and revenue . it follows concerns over the way public services in Alderney will be funded . current arrangements stem from 1948 agreement, drawn up after large population drop .""]",0.076923077,0,0.076923077,0.076923077,26.37899507
t5_finetune,11,"[""A review aimed at modernising Alderney's financial relationship with Guernsey is due to take a year.""]","['Guernsey\'s Deputy Chief Minister Allister Langlois said there was ""a great deal of work to do"".']",0.235294118,0,0.117647059,0.117647059,24.45508048
