,id,model_id,target,candidate,Word Count Candidate,score
9,9,1,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['The family said they could not have afforded a QC themselves after the Legal Aid Agency decided the case ""was not in the public interest"". Seven-year-old Zane Gbangbola died at his home next to the Thames in Chertsey, Surrey on 8 February 2014. The coroner is to deliver his verdict on 6 or 7 September. Over five weeks, the inquest heard detailed scientific evidence about what gas may have killed the boy. A post-mortem examination suggested it could have been carbon monoxide fumes from a petrol-driven pump used to clear floodwater from the premises. But the hearing was told the amount of carbon monogen in his blood was significantly lower than fatal. Zane\'s parents believe he was killed by hydrogen cyanide in floodwater polluted by a former landfill site to the rear of their home. The family\'s campaign managed to raise £70,000 to hire a lawyer, including £25,000 from an anonymous supporter. Zanes\'s mother Nicole Lawler said: ""We could not (do it) on our own. There is absolutely no way we could have represented ourselves. And without the funding the public put together to help us get a QC, we really did not stand a chance."" Her partner Kye Gbang']",200,2
0,0,5,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']",['The US government has said it is investigating a massive data breach that has affected more than 5.6 million people.'],20,3
1,1,5,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['A fire has destroyed a restaurant in Bognor Regis, West Sussex.']",11,2
2,2,5,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],['The European Commission has taken up an infringement action against the UK government over plans to build a wind farm in the Bristol Channel.'],24,2
3,3,5,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],['A man has been diagnosed with monkeypox in the UK after travelling to the UK from Nigeria.'],17,3
4,4,5,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['The UK economy is expected to grow by 2% in 2017, according to a new report.']",16,1
5,5,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"[""The Grammys have announced the winner of this year's Best Rap Song and Best Rap Album.""]",16,2
6,6,5,['A cyclist has died in a crash with a van in Neath Port Talbot.'],['A cyclist has died after being hit by a car on the A4109.'],13,5
7,7,5,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']",['A Welsh MP has called for more information about sepsis to be given to people who have been diagnosed with it.'],21,5
8,8,5,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['A moth has been found in Wales, the first of its kind to be found in the UK.']",18,1
9,9,5,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],['A family of a boy who died after being poisoned by cyanide has urged a coroner to give his verdict.'],20,1
0,0,6,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['Identity risk The OPM attack was uncovered in April this year and saw attackers make off with ID and security clearance information about US government staff. Social security numbers, names, addresses, health, financial and biometric data were all taken.']",39,2
1,1,6,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['Sussex Police said the fire broke out at Beach Restaurant and affected derelict buildings next to it. On Twitter, Paige posted: ""can\'t believe the best chippy in bognor has burnt down.""']",31,2
2,2,6,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],"['The EC confirmed it is taking up the matter with the UK Government due to the ""failure to propose protection sites for the harbour porpoise"". We\'ve been told the EC is taking infringement orders against the UK government, because they believe, as we do, they haven\'t done enough to protect the porpoises.']",52,3
3,3,6,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],"['What is monkeypox? PHE and NHS officials said they had been implementing ""rapid infection control procedures"" and contacting passengers who travelled in close proximity to the patient on the same flight to the UK. ""']",35,1
4,4,6,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['By Chris JohnstonBusiness reporter The rise in prices will ""accelerate rapidly"" during 2017 as the fall in sterling is passed on to consumers, according to the National Institute for Economic and Social Research (NIESR). Samuel Tombs, chief UK economist at Pantheon Macroeconomics, said: ""NIESR is right to warn that households are about to endure a renewed period of falling living standards due to soaring inflation. ""']",66,2
5,5,6,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"['He said he did not know why Gambino had declined to attend but explained how important recognising rap and hip-hop artists at the Grammys was. "" Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents.']",38,1
6,6,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],"['A black Volkswagen Transporter was in collision with a cyclist on the A4109 at Banwen at 21:15 BST on Saturday. Officers have appealed for witnesses or ""anyone who witnessed the manner of driving of the pedal cycle or vehicle prior to the collision"".']",43,2
7,7,6,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']","['I didn\'t have any support, I didn\'t understand, what was going on, and I had never really in my life suffered depression, so that was a new thing for me. "" The Welsh Government said: ""We are supporting the development of the sepsis registry - led by Public Health Wales in collaboration with all health boards - which focuses on long-term outcomes for people who have had sepsis. ""']",69,2
8,8,6,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['All findings have been in south Wales, with the Craig Gwladus discovery uncovered among leaf litter and under old wood along the former Gelliau Colliery Tramroad at the park. Mr Olds said scientists would probably never know for certain.']",39,1
9,9,6,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['The family said they could not have afforded a QC themselves after the Legal Aid Agency decided the case ""was not in the public interest"". But the hearing was told the amount of carbon monoxide in his blood was significantly lower than fatal.']",43,1
