text,summary
"He will also answer questions from the audience at the event, which is being held to raise money for charity. The dinner in Edinburgh on 26 May is thought to be one of his first major addresses since his term as president came to an end. The event at the EICC is being organised by The Hunter Foundation. The charity was set up by leading businessman and philanthropist Sir Tom Hunter. Tickets for a table of 10 at the dinner are expected to go on sale for approximately £5,000. The A-listers keep on coming The Hunter Foundation has previously arranged for US politicians and actors including Bill Clinton, Leonardo DiCaprio and George Clooney to come to Scotland. Last year, Leonardo DiCaprio travelled to Edinburgh to speak at the Scottish Business Awards at the EICC. He also visited Home, a restaurant in Queensferry Street, which gives its profits to the homeless. Hundreds of fans were waiting for his arrival. Many had queued in the rain for hours. The previous year, George Clooney visited Social Bite in Rose Street. The actor visited the cafe, which donates all its profits to homeless people, leaving $1,000 (about £650) for the cause. He stayed at the cafe for around 15 minutes, and greeted the 200-strong crowd who were waiting outside. Mr Clooney shook hands, posed for selfies and chatted with fans. All of the cash raised will be split between children's charities in Scotland and the Obama Foundation, set up by the former president and his wife Michelle. Sir Tom also plans to set aside some seats at the event for local young people. He said: ""From the South Side of Chicago to the White House has been an epic, historic journey and it will be a true honour to hear that story from the man who made that journey. ""We are both truly proud and delighted to be hosting the 44th president of the United States in Scotland at this event."" Sir Tom told the Press Association he is ""really chuffed"" Mr Obama is coming to Scotland. ""We're always looking for really inspiring speakers to come along to Scotland, and really inspire and inform,"" Sir Tom said. ""To be able to get president Obama, we're really chuffed."" The entrepreneur-turned-philanthropist also revealed he is planning a special surprise for the 44th US president. He said: ""President Obama loves his music, so we're getting some interesting guests."" Speaking from New York as she continued her five-day visit to the US, First Minister Nicola Sturgeon told BBC Scotland she was ""really excited"" about the announcement. Ms Sturgeon added: ""Lots of people back home in Scotland will be really looking forward to welcoming President Obama and hearing what he has to say"".",Former US president Barack Obama is to make his first visit to Scotland when he addresses business leaders in the capital next month.
"Mr Lawrence, 18, was stabbed to death in 1993 by a gang of youths in Eltham. Gary Dobson, 36, and David Norris, 35, were recently jailed for the murder. Doreen Lawrence has said the Stephen Lawrence Centre in Deptford - which aims to help young people from disadvantaged backgrounds - may close unless more money can be found. The centre provides training courses in areas such as IT and the creative arts. Doreen Lawrence said: ""We've been experiencing financial hardship for a while, but now as time's gone on it's got really bad. 'Squeezed so much' ""The situation's been getting more and more difficult. ""We find ourselves in the situation now where funding's been squeezed so much. ""People believe because Stephen Lawrence's name is so high profile the trust doesn't need any help - but we need help desperately."" She said charities such as this one were finding it difficult to continue their work. Related Internet Links The Stephen Lawrence Charitable Trust","A centre set up in the memory of murdered teenager Stephen Lawrence is in danger of being shut because of a lack of funding, his mother has said."
"Nova accepted the £20,000 prize for her debut album Re-Up via video link. The 24-year-old, whose real name is Shaheeda Sinckler, was visibly shocked as news of the award win was revealed on stage by her manager Sof Staune. Accepting the award, she said winning had ""solidified my belief that hard work brings results."" The Edinburgh-based rapper, producer and DJ said: ""It is such an incredible feeling to have won the 2020 Scottish Album of the Year Award, just a couple of weeks shy of my 25th birthday. ""It is so affirming - any doubts that I might have had previously are now out of the window and I'm seriously so excited for the future. ""To think that my manager and I had no idea where we would end up when we started working together and now to have made it here is just fantastic."" Nova, the youngest person to ever collect the accolade, added: ""It hasn't always been easy - there have been a lot of late nights, night buses and moments of uncertainty, to name a few challenges, but winning this award has solidified my belief that hard work and determination bring results."" Re-Up was one of eight debut records included in the 10-strong list for the 2020 prize, which was hosted online for the first time due to the pandemic. It was also the shortest album on the list containing just six tracks with an 18-minute runtime. Robert Kilpatrick, general manager of the Scottish Music Industry Association, said it was encouraging to see the award given to a rap/grime album. ""Nova's win challenges the idea of what an album actually is in 2020 as whilst Re-Up may be short in length, its impact and resonance as a body of work is nothing short of powerful. ""The fact it was delivered with the support of a range of local producers from across Scotland only goes to show the passion, strength and innovation of Scotland's growing hip-hop/rap/grime scene.""",The winner of the Scottish Album of the Year award has picked up her prize in an online ceremony - while self-isolating with Covid.
"Arafa Nassib is accused of conspiring with her 18-year-old son Adil Kasim and another man, Yusuf Abdullah, to commit fraud against Scottish Widows. Ms Nassib is said to have attempted to fake her own death in Zanzibar. All three appeared at Birmingham Magistrates' Court and were bailed to appear at the city's crown court on 31 May. Read more Birmingham and Black Country stories here Police arrested Ms Nassib in February when she returned to the UK. It followed an inquiry into claims the 48-year-old had died off the coast of mainland Tanzania. The alleged fraud was carried out between March and December last year. Ms Nassib, 48, Mr Kasim, and Mr Abdullah, 24, all of Lower Rushall Street, Walsall, did not enter pleas.","A mother allegedly plotted to fake her own death in Africa to claim a £140,000 insurance payout, a court heard."
"A full meeting of Aberdeen City Council will discuss the Union Terrace Gardens proposals on 22 August. The singer said the plan to replace the sunken gardens with the Granite Web development would be wrong. Labour want to overturn the decision of a referendum, which approved the multi-million pound City Garden Project. The former Eurythmics star said she was saddened by the ""decline"" of Aberdeen. 'Enjoyed by everyone' Tom Smith, chairman of Aberdeen City Gardens Trust, said: ""We wholly agree with Ms Lennox's views about Aberdeen's city centre. ""That is why we want to create an amazing new focal point that will regenerate and revitalise the whole city centre, giving us much more usable and attractive green space and amenities that can be enjoyed by everyone. ""What she does not seem to be aware of is that the majority of the citizens of Aberdeen have made their views known in the referendum and they want the City Garden Project to proceed."" Businessman Sir Ian Wood has pledged £50m of his own money to the project, a project he believes the city must grasp.","Aberdeen singer Annie Lennox has described plan to transform the centre of her home town through the City Garden Project as a ""dog's dinner""."
"By Niall Blaney & John CampbellBBC News NI Some common plant species like honeysuckle and oak are now banned from being moved from Great Britain to Northern Ireland. That is because NI is continuing to follow EU plant health rules, while GB is not. Some plant businesses in GB have stopped making sales to NI customers. James Barnes, chair of the Horticultural Trades Association (HTA), said: ""Plant health regulations mean GB businesses now face inspections at up to four separate points in the supply chain journey, adding time and expense into the process. ""That is causing some businesses to reconsider their trade with NI."" UK Department for Environment, Food & Rural Affairs said ""overall"" businesses were ""adjusting well to the new rules"". Businesses in GB that are sending plants to NI must obtain a plant health certificate from a professional plant inspector. The government is covering the cost of those certificates, but it is a time consuming process. Details of the shipment must also be uploaded to an EU IT system known as Traces NT, at least 24 hours in advance of its arrival in Northern Ireland. A ban on GB seed potatoes being sent to NI was highlighted before Christmas, but there are prohibitions on a wider range of products which the EU considers high risk. These include Privet hedge plants, English Yews and and Elm trees. Soil is also banned from being sent from GB to NI but other lower risk growing mediums like pure peat are permitted. Orders cancelled Several amateur gardeners have contacted the BBC to say that plant companies in GB have cancelled or suspended their orders. Doreen Purce, from County Down, told the BBC she had placed an online order for seeds with an English company, only to have her digital basket emptied at checkout. ""I then rang the company and they said that they were not delivering to Northern Ireland at the minute because the paperwork was so complicated, and they had to abide by an EU directive,"" she said. ""I don't think this has been thought through. I would say that the UK's standards for food and horticulture are very high. I feel that we are very isolated now in Northern Ireland and in Ireland as a whole."" Seamus McNeill, from County Antrim, said he had placed orders with two GB companies, but both said they were unable to fulfil them because of the added costs involved. ""I have previously ordered hundreds of plug plants and the two companies I ordered with deliver to a lot of customers in Northern Ireland,"" said Mr McNeill. ""We are now deemed to be international customers. This had been a very cost-effective way for me to produce a lot of plants. ""The companies in England appreciate the customers they have here, but major difficulties have now arisen,"" he said. Mr Barnes from the HTA has called on the EU and UK to explore ways to ease the new rules. ""The impact of these complex and burdensome changes is far-reaching for GB and NI. ""The UK's horticulture industry stands to lose out if solutions cannot be found."" 'Adjusting well' The UK Department for Environment, Food & Rural Affairs (Defra) said it was ""working closely with the horticulture industry to ensure they can take advantage of the opportunities leaving the EU brings"". ""Overall businesses are adjusting well to the new rules and continue to trade effectively,"" a Defra spokeswoman said. She added: ""Alongside other measures, we have put in place the Movement Assistance Scheme (MAS) to support and assist traders moving plants, plant products, and agrifood from GB to NI - this minimises business uncertainty by supporting the direct costs of new certification requirements"".","Horticulture businesses are experiencing ""incredible frustration"" at the new Irish Sea border arrangements, a trade body has said."
"The executive has not ruled out bringing in the move in NI to coincide with the half-term holiday for schools. Mrs Dodds, Stormont's economy minister, said attention needed to be paid to the impact it would have on jobs. Ministers will meet on Thursday to discuss imposing more restrictions to curb the spread of Covid-19. There is speculation localised measures could be introduced in other parts of NI where cases are high, such as Newry and Mourne. A circuit breaker is a lockdown for a short period of time, possibly two weeks, to slow the spread of the virus. There were 828 new cases reported on Wednesday in the Department of Health's daily update for the previous 24 hours, with one further death confirmed. To date there have been 16,187 confirmed cases of the virus in Northern Ireland. London must 'step up' Mrs Dodds said she welcomed the interventions from the British government to aid the economy during the first wave of the pandemic, but that it was no longer enough. ""We need to see our national government in London step up and offer help across the United Kingdom to make sure unemployment does not increase and that we are supporting jobs and people through this,"" she told BBC Radio Ulster's Good Morning Ulster programme. She insisted that the government's furlough scheme, due to end on 31 October, needs to be extended to stave off job losses in Northern Ireland. The minister also said any further restrictions imposed must be ""proportionate"" and be backed up by public health advice, but that she would not pre-empt any discussions ahead of Thursday's executive meeting. ""I'm perfectly at one with the fact that when it comes to health and the economy, we need to have a balanced view of where we are,"" she added. 'Substantive task' to replace jobs The head of the jobs creation body Invest NI has described the prospect of 100,000 workers here losing their jobs as ""terrifying"". Kevin Holland said it would be a ""substantive task"" to replace job losses on such a scale. He has been giving evidence to Stormont's Economy Committee. Mr Holland said prior to the coronavirus pandemic, Invest NI had planned to create up to 30,000 jobs over a three to four year period and highlighted the aerospace sector as one area that could experience difficulties in the next two to three years. Meanwhile, Finance Minister Conor Murphy has announced a grant scheme to help the north west's hospitality industry. Pubs, restaurants and hotels in the Derry City and Strabane council area have been operating under tighter coronavirus restrictions since Monday. The scheme will see small businesses receive £800 for every two weeks they are closed, while larger businesses will receive £1,200 every two weeks. The BBC understands Mr Murphy's proposal was approved by urgent procedure for sign-off from the first and deputy first ministers. The minister said the scheme was more generous than similar support packages that had been offered in Great Britain and the Republic of Ireland. But SDLP leader and Foyle MP Colum Eastwood said that ""small grants won't cut it"", as he called for a wider support package. Last week, businesses leaders in the north west said there were serious concerns about the impact of the new measures on the hospitality industry in the region. They were introduced to help curb the surge in coronavirus cases in the region over recent weeks. The council area has the highest rate of cases per 100,000 in NI. There have been 1,813 confirmed cases in the Derry and Strabane council area since March - 876 diagnosed in the past seven days.","Imposing a circuit-breaker lockdown will only be viable if extra financial support is provided from Westminster, Diane Dodds has said."
"Mrs Johnson, 78, died on 18 August without being able to fulfil her last wish of giving her son a proper burial. After being diagnosed with cancer last year, Mrs Johnson appealed again to killer Ian Brady to reveal the location of Keith's body, without success. More than 200 people attended the service, held at St Chrysostom's Church, Victoria Park. The hearse included floral tributes reading 'Gran' and 'Mam', with a smiling photo of Winnie on top of the coffin. A book of condolence opened at the church, with a private burial taking place following the service. 'Bingo with angels' Keith was one of five children murdered by Ian Brady and Myra Hindley between 1963 and 1965. The then 12-year-old was abducted on 12 June 1964, and was the only victim whose body has never been found, despite several large-scale searches of Saddleworth Moor. During the service, hymns The Old Rugged Cross, Lord Of All Hopefulness and The Lord Is My Shepherd were played. Elizabeth Bond, a friend of Mrs Johnson, gave a eulogy calling her a ""woman ahead of her time"". She said: ""Her mother was a great influence in her life, and when she became a mother herself she described it as the best thing that she ever did. ""Sadly in 1964, Keith was taken away from his family and Winnie became more and more of a public figure under the tagline - Keith Bennett's mother. ""I don't want us to forget that Winnie was so much more."" She added: ""I hope you are playing bingo with the angels like you said you would and all the ones you loved are by your side when you shout house."" Floral tributes at the funeral included wreaths from Greater Manchester Police and her local bingo club. 'Candle for Keith' Assistant priest Father John Grant, said Winnie was a regular face at St Chrysostom's Church. ""The abiding memory is of her arriving and leaving church in the electric scooter and she used to come in the side door, scoot across, park up and into the front pew,"" he said. ""At the end of every Sunday service she would go and light a candle for Keith. ""We have commended her into God's care, we have prayed that she will be at peace, we have prayed that she is reunited with Keith."" The day before Mrs Johnson's death, police said they were looking at claims Brady had revealed details about Keith's grave to his mental health advocate, Jackie Powell, from Carmarthenshire, south Wales. Mrs Johnson's solicitor John Ainley said she had not known about the latest development as ""she wasn't capable of accepting it"". Teresa Walsh, who helped Winnie search Saddleworth Moor for any signs to where Keith's body might be, attended the service. She said: ""She was a very strong lady, she loved her family. ""She just never gave up looking for Keith, she just wanted to find her son, that's all she wanted, to find him and lay him to rest."" A fund has been started to provide a memorial to Mrs Johnson inside the church and a community garden at the side of the building.","The funeral of Winnie Johnson, mother of Moors murder victim Keith Bennett, has taken place at a Manchester church."
"Northern Stage said it needed to lose about a quarter of its permanent workforce to ""ensure the long term future"" of the theatre. Bosses cited losses caused by the coronavirus closure and said it could take 18 months to fully recover. All 45 permanent staff and 34 casual workers would remain on furlough until October, the theatre said. Casual staff such as ushers and stage crew would be called for paid work when available and between 10 to 12 permanent jobs could be cut, the theatre said. A spokesperson said: ""We still don't know when we will be able to reopen without social distancing. ""So, despite our best efforts to avoid it, redundancies are now needed to ensure the long term future of Northern Stage."" The theatre said 43% of its annual income comes from its performances that have been suspended since March. ""We expect some activity to resume later this year, but we anticipate it will take at least 12 to 18 months to rebuild to February 2020 levels,"" the spokesperson said. Executive director Kate Denby said: ""We know this will have a huge impact on the many dedicated staff who have been desperate to return to work throughout this incredibly difficult period. ""We will do everything we can to support them going forward and hope that there will be some point in the future when we can welcome them back to Northern Stage."" Follow BBC North East & Cumbria on Twitter, Facebook and Instagram. Send your story ideas to northeastandcumbria@bbc.co.uk.",A theatre and drama company in Newcastle has entered redundancy talks placing up to 12 jobs at risk.
"Health Minister Vaughan Gething told the Senedd that Betsi Cadwaladr health board, which serves north Wales, had shown ""genuine progress"". The board went into special measures in 2015 after a report found institutional abuse at a mental health ward. The three-and-a-half year package will provide up to £82m per year. Plaid Cymru said the money was welcome but said the health board had ""had its day"". In his statement to the Senedd on Tuesday, Mr Gething said: ""The heath board has recently submitted a comprehensive and balanced account of progress during the period of special measures escalation. ""This shows genuine progress but also insight and acceptance of areas for ongoing action and improvement."" Some services, including maternity and out-of-hours, have already come out of special measures. ""Measures of quality, such as responding to concerns and infection prevention and control, demonstrate that historic performance issues have been addressed,"" Mr Gething said. He told the Senedd the board had made a ""positive and sustained response to Covid-19"" in the most difficult of circumstances. He announced he would be giving longer-term funding to tackle ""disproportionately poor"" performance in high-profile areas such as referral to treatment and accident and emergency services. The funding is being provided to enable the board to plan sustainably for the future, he said. It will provide: The minister will also establish a task and finish group to make recommendations on a proposed north Wales medical school. Plaid Cymru's health spokesman Rhun ap Iorweth said the board had ""had its day"" and and the north needed new health and care structures. He added: ""Additional money is welcome of course, but sadly, this statement reads largely like any one of the statements that we have heard over the past five and a half years since Betsi Cadwaladr was put into special measures - some improvements claimed, and other areas highlighted as needing more work.""",A health board which has been in special measures for five years is to get a multi-million pound assistance package to help it make improvements.
